城市,年月,最高温,最低温,平均气温
咸宁,2024-03,33.0,0.0,18.4
咸宁,2024-04,30.0,12.0,22.6
咸宁,2024-05,35.0,12.0,27.2
咸宁,2024-06,34.0,16.0,27.9
咸宁,2024-07,39.0,22.0,34.3
咸宁,2024-08,39.0,23.0,35.5
咸宁,2024-09,39.0,14.0,32.8
咸宁,2024-10,30.0,8.0,23.4
咸宁,2024-11,27.0,1.0,19.0
咸阳,2023-12,20.0,-10.0,6.4
咸阳,2024-01,15.0,-10.0,5.7
咸阳,2024-02,16.0,-6.0,6.4
咸阳,2024-03,30.0,-2.0,17.2
咸阳,2024-04,30.0,7.0,23.5
咸阳,2024-05,36.0,10.0,28.4
咸阳,2024-06,40.0,15.0,32.5
咸阳,2024-07,36.0,20.0,30.1
咸阳,2024-08,36.0,20.0,32.7
咸阳,2024-09,37.0,12.0,30.4
咸阳,2024-10,27.0,5.0,20.2
咸阳,2024-11,18.0,-6.0,13.3
哈密,2023-12,7.0,-20.0,-1.9
哈密,2024-01,3.0,-19.0,-1.4
哈密,2024-02,8.0,-23.0,2.1
哈密,2024-03,25.0,-9.0,14.5
哈密,2024-04,30.0,1.0,21.3
哈密,2024-05,39.0,10.0,31.6
哈密,2024-06,40.0,15.0,34.5
哈密,2024-07,41.0,17.0,35.6
哈密,2024-08,40.0,14.0,34.2
哈密,2024-09,34.0,0.0,26.4
哈密,2024-10,27.0,0.0,20.1
哈密,2024-11,17.0,-13.0,8.8
哈尔滨,2023-12,3.0,-29.0,-11.4
哈尔滨,2024-01,-4.0,-31.0,-11.7
哈尔滨,2024-02,5.0,-28.0,-5.4
哈尔滨,2024-03,13.0,-17.0,2.5
哈尔滨,2024-04,24.0,-5.0,15.8
哈尔滨,2024-05,28.0,5.0,19.9
哈尔滨,2024-06,31.0,9.0,23.6
哈尔滨,2024-07,32.0,15.0,28.3
哈尔滨,2024-08,31.0,14.0,27.3
哈尔滨,2024-09,28.0,4.0,21.7
哈尔滨,2024-10,22.0,-4.0,13.1
哈尔滨,2024-11,12.0,-19.0,2.2
唐山,2023-12,12.0,-19.0,0.3
唐山,2024-01,6.0,-16.0,1.7
唐山,2024-02,15.0,-11.0,4.8
唐山,2024-03,21.0,-6.0,13.6
唐山,2024-04,27.0,4.0,20.5
唐山,2024-05,31.0,11.0,25.7
唐山,2024-06,35.0,15.0,31.5
唐山,2024-07,36.0,17.0,31.4
唐山,2024-08,33.0,17.0,30.5
唐山,2024-09,32.0,7.0,25.2
唐山,2024-10,24.0,0.0,19.2
唐山,2024-11,20.0,-7.0,12.5
商丘,2023-12,20.0,-9.0,6.1
商丘,2024-01,14.0,-9.0,6.3
商丘,2024-02,20.0,-10.0,6.7
商丘,2024-03,25.0,-1.0,15.7
商丘,2024-04,28.0,5.0,22.4
商丘,2024-05,35.0,9.0,28.6
商丘,2024-06,39.0,17.0,34.0
商丘,2024-07,36.0,20.0,31.3
商丘,2024-08,36.0,20.0,33.0
商丘,2024-09,36.0,11.0,28.0
商丘,2024-10,27.0,6.0,21.4
商丘,2024-11,23.0,0.0,15.8
喀什,2023-12,19.0,-9.0,3.6
喀什,2024-01,6.0,-10.0,1.9
喀什,2024-02,17.0,-6.0,4.9
喀什,2024-03,25.0,-1.0,15.3
喀什,2024-04,31.0,6.0,22.3
喀什,2024-05,33.0,10.0,28.6
喀什,2024-06,37.0,13.0,30.6
喀什,2024-07,38.0,15.0,32.0
喀什,2024-08,34.0,15.0,30.4
喀什,2024-09,33.0,10.0,26.2
喀什,2024-10,27.0,3.0,20.7
喀什,2024-11,19.0,-4.0,11.8
嘉兴,2023-12,25.0,-5.0,10.5
嘉兴,2024-01,22.0,-5.0,9.8
嘉兴,2024-02,24.0,-1.0,9.6
嘉兴,2024-03,30.0,-2.0,16.8
嘉兴,2024-04,27.0,9.0,20.7
嘉兴,2024-05,34.0,11.0,25.3
嘉兴,2024-06,35.0,17.0,27.0
嘉兴,2024-07,38.0,24.0,34.6
嘉兴,2024-08,39.0,25.0,35.6
嘉兴,2024-09,36.0,20.0,30.7
嘉兴,2024-10,31.0,11.0,22.3
嘉兴,2024-11,23.0,3.0,18.2
噶尔县,2023-12,7.0,-18.0,-0.4
噶尔县,2024-01,1.0,-20.0,-2.2
噶尔县,2024-02,6.0,-21.0,-1.7
噶尔县,2024-03,13.0,-17.0,3.8
噶尔县,2024-04,12.0,-9.0,7.5
噶尔县,2024-05,20.0,-7.0,12.4
噶尔县,2024-06,21.0,0.0,17.1
噶尔县,2024-07,27.0,7.0,22.1
噶尔县,2024-08,23.0,7.0,19.4
噶尔县,2024-09,21.0,0.0,16.7
噶尔县,2024-10,19.0,-8.0,10.8
噶尔县,2024-11,10.0,-15.0,4.3
四平,2023-12,9.0,-25.0,-7.0
四平,2024-01,0.0,-27.0,-7.2
四平,2024-02,10.0,-28.0,-3.5
四平,2024-03,16.0,-17.0,5.7
四平,2024-04,25.0,-5.0,17.1
四平,2024-05,29.0,5.0,22.1
四平,2024-06,33.0,9.0,27.0
四平,2024-07,31.0,15.0,27.9
四平,2024-08,31.0,14.0,28.1
四平,2024-09,28.0,2.0,22.1
四平,2024-10,23.0,-7.0,14.5
四平,2024-11,15.0,-14.0,5.7
固原,2023-12,13.0,-17.0,2.4
固原,2024-01,12.0,-19.0,1.5
固原,2024-02,16.0,-12.0,0.8
固原,2024-03,24.0,-10.0,9.9
固原,2024-04,24.0,1.0,17.0
固原,2024-05,30.0,3.0,22.1
固原,2024-06,29.0,9.0,23.1
固原,2024-07,30.0,12.0,25.1
固原,2024-08,30.0,11.0,25.0
固原,2024-09,26.0,0.0,18.9
固原,2024-10,20.0,-2.0,13.9
固原,2024-11,16.0,-10.0,6.8
塔城,2023-12,8.0,-23.0,-1.4
塔城,2024-01,5.0,-19.0,-1.6
塔城,2024-02,8.0,-31.0,-3.6
塔城,2024-03,20.0,-15.0,6.9
塔城,2024-04,27.0,-1.0,17.4
塔城,2024-05,33.0,6.0,24.8
塔城,2024-06,37.0,9.0,29.5
塔城,2024-07,37.0,14.0,30.1
塔城,2024-08,37.0,12.0,30.7
塔城,2024-09,27.0,0.0,20.4
塔城,2024-10,25.0,1.0,14.6
塔城,2024-11,17.0,-10.0,4.9
大兴安岭,2023-12,-4.0,-36.0,-15.0
大兴安岭,2024-01,-4.0,-38.0,-13.2
大兴安岭,2024-02,3.0,-33.0,-7.4
大兴安岭,2024-03,9.0,-27.0,0.3
大兴安岭,2024-04,20.0,-12.0,11.7
大兴安岭,2024-05,26.0,-4.0,18.9
大兴安岭,2024-06,31.0,5.0,24.6
大兴安岭,2024-07,34.0,12.0,28.5
大兴安岭,2024-08,32.0,6.0,25.3
大兴安岭,2024-09,30.0,-7.0,19.8
大兴安岭,2024-10,20.0,-13.0,8.6
大兴安岭,2024-11,2.0,-25.0,-2.8
大同,2023-12,13.0,-33.0,-2.3
大同,2024-01,5.0,-30.0,-2.1
大同,2024-02,15.0,-20.0,0.8
大同,2024-03,22.0,-17.0,10.5
大同,2024-04,28.0,-2.0,20.5
大同,2024-05,33.0,2.0,25.4
大同,2024-06,33.0,8.0,27.1
大同,2024-07,38.0,13.0,29.2
大同,2024-08,31.0,10.0,27.3
大同,2024-09,27.0,0.0,21.1
大同,2024-10,22.0,-5.0,15.5
大同,2024-11,16.0,-16.0,8.2
大庸,2023-12,25.0,-3.0,12.3
大庸,2024-01,22.0,-3.0,10.7
大庸,2024-02,27.0,-3.0,9.6
大庸,2024-03,32.0,2.0,19.0
大庸,2024-04,33.0,11.0,23.3
大庸,2024-05,36.0,13.0,27.8
大庸,2024-06,37.0,15.0,28.4
大庸,2024-07,40.0,21.0,35.1
大庸,2024-08,39.0,23.0,36.0
大庸,2024-09,40.0,16.0,32.8
大庸,2024-10,30.0,11.0,23.5
大庸,2024-11,27.0,3.0,18.8
大理,2023-12,21.0,0.0,17.0
大理,2024-01,18.0,-1.0,15.1
大理,2024-02,21.0,0.0,16.9
大理,2024-03,25.0,2.0,22.1
大理,2024-04,27.0,8.0,24.0
大理,2024-05,28.0,10.0,23.5
大理,2024-06,31.0,15.0,26.0
大理,2024-07,30.0,15.0,25.5
大理,2024-08,30.0,14.0,26.2
大理,2024-09,28.0,14.0,24.7
大理,2024-10,25.0,10.0,21.9
大理,2024-11,23.0,2.0,18.4
大连,2023-12,15.0,-14.0,0.7
大连,2024-01,7.0,-13.0,0.6
大连,2024-02,12.0,-12.0,0.8
大连,2024-03,18.0,-5.0,8.7
大连,2024-04,21.0,5.0,16.9
大连,2024-05,27.0,11.0,21.8
大连,2024-06,34.0,16.0,26.0
大连,2024-07,32.0,20.0,27.8
大连,2024-08,33.0,21.0,29.8
大连,2024-09,28.0,12.0,25.2
大连,2024-10,23.0,2.0,17.7
大连,2024-11,21.0,-4.0,12.0
天水,2023-12,15.0,-11.0,7.2
天水,2024-01,12.0,-12.0,5.7
天水,2024-02,17.0,-6.0,6.2
天水,2024-03,28.0,-5.0,15.3
天水,2024-04,29.0,6.0,22.6
天水,2024-05,34.0,8.0,26.5
天水,2024-06,35.0,13.0,28.6
天水,2024-07,35.0,16.0,28.3
天水,2024-08,34.0,15.0,30.5
天水,2024-09,33.0,7.0,25.3
天水,2024-10,22.0,1.0,17.1
天水,2024-11,21.0,-6.0,12.1
天津,2023-12,14.0,-14.0,2.0
天津,2024-01,8.0,-9.0,2.7
天津,2024-02,16.0,-5.0,5.8
天津,2024-03,23.0,0.0,14.7
天津,2024-04,29.0,7.0,21.9
天津,2024-05,34.0,14.0,27.4
天津,2024-06,40.0,19.0,33.2
天津,2024-07,40.0,19.0,32.5
天津,2024-08,36.0,21.0,31.8
天津,2024-09,33.0,11.0,26.4
天津,2024-10,26.0,4.0,20.0
天津,2024-11,22.0,-3.0,13.9
太原,2023-12,18.0,-21.0,2.0
太原,2024-01,10.0,-19.0,2.6
太原,2024-02,17.0,-10.0,4.8
太原,2024-03,26.0,-9.0,14.5
太原,2024-04,31.0,4.0,22.9
太原,2024-05,35.0,6.0,28.3
太原,2024-06,37.0,13.0,31.7
太原,2024-07,37.0,16.0,32.5
太原,2024-08,35.0,14.0,29.9
太原,2024-09,31.0,7.0,24.7
太原,2024-10,24.0,0.0,18.4
太原,2024-11,18.0,-7.0,11.6
威海,2023-12,17.0,-8.0,3.6
威海,2024-01,8.0,-10.0,3.1
威海,2024-02,13.0,-6.0,3.3
威海,2024-03,19.0,-4.0,10.7
威海,2024-04,26.0,6.0,19.4
威海,2024-05,26.0,12.0,22.4
威海,2024-06,35.0,14.0,27.8
威海,2024-07,35.0,19.0,28.9
威海,2024-08,35.0,21.0,30.7
威海,2024-09,32.0,16.0,26.4
威海,2024-10,24.0,9.0,18.9
威海,2024-11,22.0,-2.0,13.2
娄底,2023-12,24.0,-2.0,12.3
娄底,2024-01,21.0,-5.0,9.6
娄底,2024-02,29.0,-2.0,9.2
娄底,2024-03,30.0,2.0,18.2
娄底,2024-04,32.0,11.0,22.9
娄底,2024-05,34.0,14.0,26.1
娄底,2024-06,34.0,18.0,27.7
娄底,2024-07,39.0,23.0,34.4
娄底,2024-08,37.0,23.0,34.0
娄底,2024-09,38.0,17.0,32.0
娄底,2024-10,30.0,8.0,23.1
娄底,2024-11,28.0,5.0,19.8
孝感,2023-12,23.0,-4.0,10.0
孝感,2024-01,20.0,-5.0,9.4
孝感,2024-02,25.0,-3.0,8.0
孝感,2024-03,30.0,0.0,18.4
孝感,2024-04,30.0,11.0,23.3
孝感,2024-05,35.0,15.0,28.0
孝感,2024-06,37.0,18.0,30.3
孝感,2024-07,38.0,23.0,33.3
孝感,2024-08,38.0,23.0,35.1
孝感,2024-09,38.0,15.0,32.4
孝感,2024-10,29.0,9.0,24.1
孝感,2024-11,25.0,0.0,19.0
宁德,2023-12,27.0,3.0,16.5
宁德,2024-01,23.0,0.0,15.3
宁德,2024-02,27.0,6.0,15.3
宁德,2024-03,34.0,6.0,19.0
宁德,2024-04,32.0,14.0,23.6
宁德,2024-05,31.0,15.0,25.9
宁德,2024-06,38.0,18.0,29.1
宁德,2024-07,39.0,26.0,35.1
宁德,2024-08,37.0,25.0,33.7
宁德,2024-09,36.0,20.0,31.8
宁德,2024-10,31.0,17.0,26.3
宁德,2024-11,28.0,8.0,22.1
安庆,2023-12,21.0,-6.0,9.1
安庆,2024-01,19.0,-5.0,9.0
安庆,2024-02,23.0,-4.0,7.8
安庆,2024-03,30.0,-1.0,17.3
安庆,2024-04,28.0,10.0,22.3
安庆,2024-05,33.0,12.0,26.1
安庆,2024-06,35.0,17.0,28.8
安庆,2024-07,38.0,23.0,32.6
安庆,2024-08,38.0,24.0,34.8
安庆,2024-09,37.0,17.0,31.9
安庆,2024-10,28.0,9.0,21.9
安庆,2024-11,25.0,3.0,18.0
安康,2023-12,18.0,-3.0,10.0
安康,2024-01,16.0,-2.0,10.0
安康,2024-02,20.0,-2.0,9.7
安康,2024-03,31.0,1.0,19.3
安康,2024-04,32.0,8.0,24.1
安康,2024-05,36.0,12.0,28.3
安康,2024-06,39.0,16.0,31.0
安康,2024-07,38.0,20.0,30.9
安康,2024-08,39.0,22.0,35.6
安康,2024-09,40.0,10.0,32.9
安康,2024-10,29.0,8.0,21.6
安康,2024-11,22.0,0.0,15.1
安阳,2023-12,27.0,-13.0,4.9
安阳,2024-01,15.0,-9.0,5.0
安阳,2024-02,19.0,-7.0,6.9
安阳,2024-03,26.0,-1.0,16.7
安阳,2024-04,30.0,4.0,23.3
安阳,2024-05,35.0,10.0,28.4
安阳,2024-06,42.0,18.0,33.6
安阳,2024-07,36.0,19.0,30.7
安阳,2024-08,36.0,20.0,32.2
安阳,2024-09,34.0,11.0,27.2
安阳,2024-10,28.0,4.0,20.6
安阳,2024-11,24.0,0.0,14.8
安顺,2023-12,22.0,-4.0,10.5
安顺,2024-01,17.0,-6.0,8.4
安顺,2024-02,26.0,-2.0,10.6
安顺,2024-03,28.0,0.0,16.5
安顺,2024-04,32.0,11.0,24.0
安顺,2024-05,29.0,11.0,22.2
安顺,2024-06,29.0,15.0,24.0
安顺,2024-07,35.0,16.0,28.5
安顺,2024-08,34.0,19.0,30.7
安顺,2024-09,34.0,11.0,28.7
安顺,2024-10,28.0,10.0,21.2
安顺,2024-11,25.0,4.0,17.3
定西,2023-12,15.0,-18.0,4.2
定西,2024-01,11.0,-19.0,2.5
定西,2024-02,15.0,-11.0,2.5
定西,2024-03,23.0,-13.0,10.0
定西,2024-04,23.0,0.0,16.5
定西,2024-05,30.0,3.0,21.7
定西,2024-06,29.0,6.0,23.6
定西,2024-07,32.0,8.0,25.7
定西,2024-08,33.0,11.0,27.3
定西,2024-09,30.0,1.0,19.6
定西,2024-10,20.0,0.0,13.4
定西,2024-11,15.0,-14.0,7.7
宜宾,2023-12,21.0,1.0,13.4
宜宾,2024-01,19.0,2.0,12.2
宜宾,2024-02,24.0,4.0,13.2
宜宾,2024-03,30.0,7.0,20.5
宜宾,2024-04,33.0,12.0,24.9
宜宾,2024-05,36.0,14.0,27.0
宜宾,2024-06,35.0,18.0,27.1
宜宾,2024-07,37.0,23.0,31.3
宜宾,2024-08,41.0,22.0,36.9
宜宾,2024-09,39.0,15.0,34.1
宜宾,2024-10,29.0,14.0,21.8
宜宾,2024-11,26.0,8.0,17.6
宜昌,2023-12,25.0,-3.0,10.0
宜昌,2024-01,19.0,-4.0,9.5
宜昌,2024-02,24.0,-2.0,8.8
宜昌,2024-03,30.0,2.0,17.9
宜昌,2024-04,31.0,11.0,24.1
宜昌,2024-05,36.0,13.0,28.5
宜昌,2024-06,38.0,17.0,30.3
宜昌,2024-07,40.0,22.0,33.9
宜昌,2024-08,40.0,24.0,36.6
宜昌,2024-09,42.0,15.0,32.6
宜昌,2024-10,31.0,9.0,23.7
宜昌,2024-11,25.0,3.0,18.7
宜春,2023-12,24.0,-3.0,12.4
宜春,2024-01,22.0,-4.0,11.3
宜春,2024-02,29.0,0.0,10.0
宜春,2024-03,32.0,2.0,18.5
宜春,2024-04,31.0,13.0,22.4
宜春,2024-05,34.0,14.0,26.6
宜春,2024-06,35.0,17.0,27.4
宜春,2024-07,39.0,23.0,35.3
宜春,2024-08,38.0,25.0,34.6
宜春,2024-09,38.0,19.0,32.6
宜春,2024-10,30.0,11.0,23.8
宜春,2024-11,27.0,5.0,19.7
宝鸡,2023-12,23.0,-8.0,7.7
宝鸡,2024-01,16.0,-8.0,5.9
宝鸡,2024-02,17.0,-5.0,6.3
宝鸡,2024-03,29.0,-1.0,17.0
宝鸡,2024-04,29.0,6.0,22.8
宝鸡,2024-05,35.0,9.0,27.5
宝鸡,2024-06,39.0,14.0,31.7
宝鸡,2024-07,37.0,19.0,29.6
宝鸡,2024-08,35.0,20.0,31.8
宝鸡,2024-09,35.0,6.0,26.4
宝鸡,2024-10,26.0,4.0,19.4
宝鸡,2024-11,21.0,-3.0,13.3
宣城,2023-12,26.0,-6.0,10.3
宣城,2024-01,20.0,-6.0,9.8
宣城,2024-02,27.0,-2.0,8.8
宣城,2024-03,32.0,-2.0,18.0
宣城,2024-04,31.0,8.0,22.3
宣城,2024-05,34.0,12.0,26.8
宣城,2024-06,35.0,17.0,28.6
宣城,2024-07,39.0,23.0,34.3
宣城,2024-08,41.0,24.0,35.9
宣城,2024-09,37.0,16.0,31.3
宣城,2024-10,28.0,9.0,21.6
宣城,2024-11,25.0,3.0,17.8
宿州,2023-12,23.0,-9.0,7.4
宿州,2024-01,14.0,-8.0,6.9
宿州,2024-02,22.0,-8.0,6.5
宿州,2024-03,25.0,-2.0,14.8
宿州,2024-04,26.0,5.0,21.1
宿州,2024-05,34.0,9.0,27.9
宿州,2024-06,38.0,17.0,33.8
宿州,2024-07,37.0,19.0,32.4
宿州,2024-08,37.0,22.0,33.9
宿州,2024-09,36.0,11.0,29.5
宿州,2024-10,28.0,3.0,21.8
宿州,2024-11,24.0,0.0,16.1
宿迁,2023-12,22.0,-8.0,7.0
宿迁,2024-01,13.0,-7.0,6.1
宿迁,2024-02,21.0,-5.0,6.1
宿迁,2024-03,25.0,-1.0,14.7
宿迁,2024-04,26.0,7.0,21.9
宿迁,2024-05,33.0,11.0,26.4
宿迁,2024-06,37.0,18.0,31.3
宿迁,2024-07,37.0,21.0,31.7
宿迁,2024-08,37.0,24.0,33.6
宿迁,2024-09,36.0,15.0,29.2
宿迁,2024-10,26.0,6.0,21.0
宿迁,2024-11,23.0,1.0,16.0
岳阳,2023-12,24.0,-2.0,10.7
岳阳,2024-01,21.0,-3.0,10.0
岳阳,2024-02,28.0,-3.0,8.2
岳阳,2024-03,30.0,2.0,17.3
岳阳,2024-04,29.0,12.0,21.8
岳阳,2024-05,33.0,14.0,25.8
岳阳,2024-06,35.0,18.0,27.6
岳阳,2024-07,37.0,22.0,33.5
岳阳,2024-08,35.0,25.0,33.1
岳阳,2024-09,37.0,17.0,31.5
岳阳,2024-10,29.0,10.0,22.8
岳阳,2024-11,26.0,6.0,18.7
崇左,2023-12,28.0,5.0,19.6
崇左,2024-01,25.0,5.0,16.8
崇左,2024-02,30.0,7.0,19.2
崇左,2024-03,34.0,9.0,23.3
崇左,2024-04,38.0,18.0,29.8
崇左,2024-05,34.0,20.0,28.7
崇左,2024-06,35.0,22.0,31.1
崇左,2024-07,38.0,24.0,32.3
崇左,2024-08,37.0,25.0,32.9
崇左,2024-09,36.0,22.0,31.4
崇左,2024-10,33.0,14.0,29.1
崇左,2024-11,33.0,10.0,26.6
巢湖,2023-12,25.0,-7.0,8.5
巢湖,2024-01,18.0,-6.0,8.1
巢湖,2024-02,24.0,-3.0,7.7
巢湖,2024-03,31.0,-1.0,16.7
巢湖,2024-04,28.0,8.0,21.8
巢湖,2024-05,33.0,13.0,26.1
巢湖,2024-06,35.0,17.0,28.9
巢湖,2024-07,37.0,22.0,32.5
巢湖,2024-08,38.0,24.0,34.7
巢湖,2024-09,37.0,16.0,30.5
巢湖,2024-10,27.0,8.0,21.4
巢湖,2024-11,24.0,3.0,17.4
巴中,2023-12,17.0,0.0,10.5
巴中,2024-01,16.0,-1.0,9.4
巴中,2024-02,20.0,1.0,10.7
巴中,2024-03,28.0,3.0,17.7
巴中,2024-04,30.0,12.0,23.5
巴中,2024-05,34.0,13.0,27.0
巴中,2024-06,35.0,16.0,27.9
巴中,2024-07,36.0,20.0,30.1
巴中,2024-08,38.0,21.0,34.0
巴中,2024-09,38.0,13.0,32.6
巴中,2024-10,26.0,11.0,21.0
巴中,2024-11,21.0,0.0,15.0
巴州,2023-12,9.0,-15.0,-0.1
巴州,2024-01,3.0,-11.0,-0.4
巴州,2024-02,9.0,-8.0,2.8
巴州,2024-03,26.0,-4.0,15.0
巴州,2024-04,29.0,4.0,22.5
巴州,2024-05,35.0,11.0,30.4
巴州,2024-06,38.0,14.0,32.0
巴州,2024-07,39.0,16.0,32.8
巴州,2024-08,36.0,18.0,31.4
巴州,2024-09,32.0,7.0,26.0
巴州,2024-10,25.0,3.0,20.3
巴州,2024-11,18.0,-6.0,10.7
常州,2023-12,23.0,-7.0,10.0
常州,2024-01,19.0,-6.0,9.0
常州,2024-02,24.0,-2.0,8.5
常州,2024-03,31.0,-1.0,16.2
常州,2024-04,27.0,8.0,21.3
常州,2024-05,33.0,12.0,26.4
常州,2024-06,34.0,18.0,28.9
常州,2024-07,40.0,23.0,34.4
常州,2024-08,39.0,25.0,35.6
常州,2024-09,36.0,18.0,31.3
常州,2024-10,29.0,9.0,21.7
常州,2024-11,25.0,4.0,17.5
常德,2023-12,24.0,-1.0,11.1
常德,2024-01,21.0,-4.0,10.1
常德,2024-02,28.0,-4.0,8.5
常德,2024-03,32.0,2.0,17.9
常德,2024-04,30.0,10.0,22.2
常德,2024-05,35.0,13.0,27.1
常德,2024-06,36.0,17.0,28.1
常德,2024-07,40.0,22.0,34.6
常德,2024-08,38.0,24.0,34.9
常德,2024-09,39.0,17.0,32.0
常德,2024-10,31.0,9.0,23.0
常德,2024-11,24.0,5.0,18.3
平凉,2023-12,17.0,-16.0,4.4
平凉,2024-01,12.0,-17.0,3.1
平凉,2024-02,14.0,-12.0,2.5
平凉,2024-03,26.0,-11.0,12.8
平凉,2024-04,26.0,3.0,19.7
平凉,2024-05,31.0,5.0,24.0
平凉,2024-06,32.0,9.0,26.0
平凉,2024-07,30.0,12.0,25.7
平凉,2024-08,29.0,13.0,26.2
平凉,2024-09,28.0,3.0,20.5
平凉,2024-10,20.0,0.0,15.5
平凉,2024-11,15.0,-8.0,8.5
平安县,2023-12,14.0,-18.0,5.8
平安县,2024-01,10.0,-17.0,3.0
平安县,2024-02,18.0,-12.0,3.3
平安县,2024-03,21.0,-9.0,11.0
平安县,2024-04,23.0,0.0,15.6
平安县,2024-05,31.0,4.0,21.4
平安县,2024-06,28.0,8.0,22.9
平安县,2024-07,32.0,11.0,24.4
平安县,2024-08,30.0,9.0,25.5
平安县,2024-09,28.0,2.0,18.4
平安县,2024-10,21.0,-4.0,13.9
平安县,2024-11,18.0,-12.0,7.6
广元,2023-12,18.0,0.0,11.0
广元,2024-01,18.0,-2.0,9.9
广元,2024-02,20.0,1.0,10.7
广元,2024-03,29.0,2.0,19.5
广元,2024-04,31.0,11.0,24.4
广元,2024-05,35.0,12.0,28.4
广元,2024-06,37.0,16.0,29.4
广元,2024-07,36.0,19.0,29.8
广元,2024-08,39.0,20.0,34.4
广元,2024-09,38.0,12.0,31.0
广元,2024-10,27.0,11.0,20.8
广元,2024-11,24.0,-2.0,15.7
广安,2023-12,18.0,1.0,11.5
广安,2024-01,16.0,2.0,9.8
广安,2024-02,21.0,1.0,11.6
广安,2024-03,28.0,5.0,19.2
广安,2024-04,32.0,14.0,23.5
广安,2024-05,36.0,14.0,26.8
广安,2024-06,36.0,18.0,27.2
广安,2024-07,38.0,22.0,32.3
广安,2024-08,41.0,23.0,37.0
广安,2024-09,42.0,14.0,35.8
广安,2024-10,28.0,13.0,22.0
广安,2024-11,23.0,5.0,16.6
广州,2023-12,30.0,3.0,20.3
广州,2024-01,28.0,2.0,19.6
广州,2024-02,28.0,6.0,20.2
广州,2024-03,31.0,8.0,22.8
广州,2024-04,33.0,19.0,27.5
广州,2024-05,32.0,19.0,28.1
广州,2024-06,35.0,23.0,31.1
广州,2024-07,38.0,25.0,33.7
广州,2024-08,38.0,25.0,33.5
广州,2024-09,36.0,21.0,32.8
广州,2024-10,34.0,18.0,30.1
广州,2024-11,31.0,9.0,25.4
廊坊,2023-12,12.0,-18.0,1.8
廊坊,2024-01,7.0,-13.0,2.8
廊坊,2024-02,15.0,-9.0,6.1
廊坊,2024-03,23.0,-4.0,15.4
廊坊,2024-04,29.0,4.0,22.6
廊坊,2024-05,33.0,12.0,27.9
廊坊,2024-06,38.0,16.0,33.4
廊坊,2024-07,37.0,18.0,32.2
廊坊,2024-08,35.0,17.0,31.6
廊坊,2024-09,33.0,8.0,26.1
廊坊,2024-10,26.0,0.0,19.6
廊坊,2024-11,21.0,-4.0,13.6
延安,2023-12,19.0,-23.0,5.0
延安,2024-01,14.0,-20.0,4.0
延安,2024-02,18.0,-15.0,4.3
延安,2024-03,27.0,-11.0,15.3
延安,2024-04,29.0,4.0,22.6
延安,2024-05,34.0,5.0,26.6
延安,2024-06,37.0,10.0,28.8
延安,2024-07,36.0,14.0,30.3
延安,2024-08,34.0,13.0,28.3
延安,2024-09,28.0,3.0,23.6
延安,2024-10,23.0,0.0,17.0
延安,2024-11,18.0,-8.0,9.6
开封,2023-12,22.0,-11.0,6.3
开封,2024-01,15.0,-8.0,6.3
开封,2024-02,20.0,-8.0,7.4
开封,2024-03,26.0,0.0,16.9
开封,2024-04,30.0,5.0,23.6
开封,2024-05,37.0,11.0,28.9
开封,2024-06,39.0,19.0,33.7
开封,2024-07,37.0,20.0,31.3
开封,2024-08,37.0,22.0,33.1
开封,2024-09,37.0,11.0,28.2
开封,2024-10,27.0,6.0,21.8
开封,2024-11,24.0,1.0,15.7
张家口,2023-12,12.0,-24.0,-2.6
张家口,2024-01,6.0,-22.0,-2.5
张家口,2024-02,12.0,-14.0,0.3
张家口,2024-03,21.0,-11.0,10.8
张家口,2024-04,29.0,2.0,20.8
张家口,2024-05,36.0,2.0,26.1
张家口,2024-06,36.0,11.0,29.5
张家口,2024-07,39.0,12.0,31.1
张家口,2024-08,32.0,10.0,28.5
张家口,2024-09,26.0,3.0,21.4
张家口,2024-10,22.0,-2.0,15.7
张家口,2024-11,18.0,-14.0,8.3
张掖,2023-12,16.0,-20.0,2.2
张掖,2024-01,15.0,-21.0,1.8
张掖,2024-02,17.0,-15.0,1.2
张掖,2024-03,25.0,-9.0,13.5
张掖,2024-04,27.0,3.0,20.0
张掖,2024-05,38.0,7.0,29.5
张掖,2024-06,35.0,10.0,30.3
张掖,2024-07,38.0,15.0,32.0
张掖,2024-08,38.0,13.0,31.7
张掖,2024-09,34.0,0.0,23.3
张掖,2024-10,26.0,-2.0,21.0
张掖,2024-11,24.0,-15.0,12.6
徐州,2023-12,22.0,-9.0,7.1
徐州,2024-01,13.0,-7.0,6.4
徐州,2024-02,22.0,-6.0,7.0
徐州,2024-03,26.0,0.0,15.6
徐州,2024-04,29.0,7.0,23.1
徐州,2024-05,35.0,11.0,28.3
徐州,2024-06,38.0,18.0,32.8
徐州,2024-07,37.0,19.0,32.1
徐州,2024-08,37.0,22.0,34.1
徐州,2024-09,36.0,13.0,29.1
徐州,2024-10,27.0,6.0,21.2
徐州,2024-11,24.0,0.0,16.2
德州,2023-12,21.0,-20.0,2.7
德州,2024-01,10.0,-13.0,3.4
德州,2024-02,19.0,-10.0,6.2
德州,2024-03,23.0,-4.0,15.8
德州,2024-04,29.0,4.0,22.4
德州,2024-05,35.0,10.0,27.5
德州,2024-06,41.0,15.0,34.6
德州,2024-07,37.0,17.0,31.7
